"Country","Year","Access.to.electricity....of.population.","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.","Foreign.direct.investment..net..BoP..current.US..","Foreign.direct.investment..net.inflows....of.GDP.","Foreign.direct.investment..net.outflows....of.GDP.","Foreign.direct.investment..net.outflows..BoP..current.US..","Forest.area....of.land.area.","Forest.area..sq..km.","GDP..current.US..","GDP.per.capita..current.US..","GDP..PPP..current.international...","High.technology.exports..current.US..","Households.and.NPISHs.Final.consumption.expenditure..PPP..current.international...","Immunization..DPT....of.children.ages.12.23.months.","Immunization..measles....of.children.ages.12.23.months.","Immunization..HepB3....of.one.year.old.children.","Individuals.using.the.Internet....of.population.","Inflation..consumer.prices..annual...","Life.expectancy.at.birth..total..years.","Mortality.rate..infant..per.1.000.live.births.","Military.expenditure....of.GDP.","Military.expenditure..current.USD.","Net.migration","People.using.at.least.basic.sanitation.services....of.population.","People.using.at.least.basic.drinking.water.services....of.population.","Proportion.of.seats.held.by.women.in.national.parliaments....","Total.greenhouse.gas.emissions.excluding.LULUCF.per.capita..t.CO2e.capita.","Tuberculosis.treatment.success.rate....of.new.cases.","Voice.and.Accountability..Percentile.Rank","Women.Business.and.the.Law.Index.Score..scale.1.100.","Educational.attainment..at.least.completed.upper.secondary..population.25...total......cumulative.","Government.expenditure.on.education..total....of.GDP.","Government.expenditure.on.education..total....of.government.expenditure.","Prevalence.of.moderate.or.severe.food.insecurity.in.the.population....","Unemployment..total....of.total.labor.force...national.estimate.","Life.Ladder","Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Positive.affect","Negative.affect","Tax.Rate"
"Afghanistan",2020,97.7,68.877,24258330.1122418,0.0649939571808755,0.186553469889349,37228478.0954418,1.85278199408184,12084.4,19955929052.1496,510.787063366811,100094011602.726,NA,89745212615.4266,61,57,61,18.4,NA,62.575,47.4,1.35885692738929,279576954.925193,143634,52.6490009350063,76.72225540254,27.0161290322581,0.682032156509644,95,19.8067627,38.125,13.007438659668,NA,NA,70.1,11.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan",2021,97.7,66.599,NA,0.215925454725649,0.215925454725649,30790960,1.85278199408184,12084.4,14259995441.0759,356.496214115892,85767546197.7544,NA,69232716427.5957,55,51,55,NA,NA,61.982,46.1,1.827933856217,278250788.014927,-548784,54.298589737252,79.6930784589074,27.0161290322581,0.691070381975066,93,7.246376991,38.125,9.46000003814697,NA,NA,79.1,5.679,2.436,7.325,0.454,54.55,0.394,-0.085,0.946,0.179,0.607,20
"Afghanistan",2022,85.3,65.339,NA,NA,NA,NA,1.85278199408184,12084.4,14497243872.1337,357.261152798144,86148711748.6854,NA,NA,58,56,58,NA,NA,62.879,44.8,NA,NA,-647402,55.9519412878114,82.1753711181706,NA,0.705148264211187,95,2.415458918,31.875,12.5973300933838,NA,NA,80.9,NA,1.281,NA,0.228,54.875,0.368,NA,0.733,0.206,0.576,20
"Afghanistan",2023,NA,NA,NA,NA,NA,NA,NA,NA,17233051620.1117,415.707417059086,91668110208.7869,NA,NA,60,55,60,NA,NA,NA,NA,NA,NA,-48958,NA,NA,NA,0.710656611914853,NA,1.960784316,31.875,NA,NA,NA,NA,NA,1.446,NA,0.368,55.2,0.228,NA,0.738,0.261,0.46,20
"Albania",2020,100,14.004,-1019647592.46952,7.01865154485077,0.328696897581741,50098202.0405848,28.7919708029197,7889,15241458744.8688,5370.77862312929,41183017294.0252,3810240,23914011908.3389,98,91,98,72.2377,1.62088661717011,76.989,8.4,1.29583570269739,196596308.984418,-16680,99.2987931149029,95.0680388145809,29.5081967213115,2.8075489569741,89,51.20772934,91.25,NA,3.3422999382019,10.1343832015991,30.9,11.639,5.365,9.494,0.71,69.125,0.754,0.002,0.891,0.563,0.265,15
"Albania",2021,100,13.002,-1168644882.54546,6.75790671297037,0.276960628708263,49941569.8261184,28.7919708029197,7889,18032010563.7558,6413.28328605026,45304758103.053,6384226,25618164717.4949,98,87,98,79.3237,2.04147163139549,76.463,8.4,1.24298808396067,222814540.116661,-32848,99.2990334369956,95.0815134425003,35.7142857142857,2.98588096879217,90,50.24154663,91.25,51.8425102233887,3.02255988121033,9.83377838134766,30.2,11.474,5.255,9.588,0.702,69.15,0.827,0.039,0.896,0.554,0.254,15
"Albania",2022,100,12.827,-1249848499.5736,7.57934219388197,1.00704223124557,191511664.057225,28.7919708029197,7889,19017242585.7803,6846.42614266044,53970278712.2857,886411,31170345458.3917,97,86,97,82.6137,6.72520271530048,76.833,8.4,1.21098343566728,228693159.623738,-16426,99.2992661348186,95.0945635220358,35.7142857142857,2.81240988461991,89,52.17391205,91.25,53.2684860229492,2.74432992935181,NA,32.2,10.785,5.212,9.649,0.724,69.175,0.802,-0.07,0.846,0.547,0.255,15
"Albania",2023,NA,NA,-1358205660.75963,6.88397745384155,1.11595840753282,262776733.054682,NA,NA,23547179830.4413,8575.17113446213,58237150900.0144,NA,34118733303.2867,97,83,97,83.1356,4.75976421930107,NA,NA,1.74399167669186,397617613.069546,-25357,NA,NA,35.7142857142857,2.79452958733738,NA,53.92156982,91.25,NA,NA,NA,NA,10.669,5.445,9.689,0.691,69.2,0.872,0.068,0.855,0.597,0.314,15
"Algeria",2020,99.7,9.901,-1129312783.55399,0.693816014772842,0.00885853916860205,14605376.0751949,0.818308959706366,19490,164873415325.201,3743.5419522929,558300141593.952,NA,255177762525.056,84,80,84,60.6534,2.41513094083414,74.453,19.7,6.65871082968014,9708277440.22726,-10798,85.9654695730295,94.4373299704124,25.7575757575758,5.4750352339084,89,19.32367134,57.5,NA,6.1939172744751,16.5491714477539,19,NA,5.438,9.291,0.868,66.5,0.574,-0.124,0.724,0.524,0.311,26
"Algeria",2021,99.8,9.343,-920974182.921155,0.466728479682941,-0.0278042070518469,-51780109.9062193,0.822227647758509,19583.333,186231205262.082,4160.55926736925,648895630480.26,NA,270751566173.205,81,79,81,66.2356,7.22606307415477,76.377,19.2,5.57082878533287,9112461105.34894,-10803,85.7843012451086,94.6321020435575,8.10810810810811,5.67335712646376,90,20.77294731,57.5,NA,5.51403284072876,16.0506973266602,19.4,NA,5.217,9.308,0.841,66.6,0.558,-0.116,0.712,0.498,0.258,26
